,Town,Year,pop_5_yrs_and_over,County,Race,Pop
211,NorthBabylon,2015,19895,Suffolk,Hawain,NA
212,NorthBabylon,2014,19608,Suffolk,Hawain,0
213,NorthBabylon,2013,19502,Suffolk,Hawain,0
214,NorthBabylon,2012,18400,Suffolk,Hawain,0
215,NorthBabylon,2011,18675,Suffolk,Hawain,0
216,NorthBabylon,2010,17814,Suffolk,Hawain,0
217,WestBabylon,2017,43168,Suffolk,Hawain,64
218,WestBabylon,2016,43359,Suffolk,Hawain,67
219,WestBabylon,2015,42664,Suffolk,Hawain,16
220,WestBabylon,2014,43725,Suffolk,Hawain,15
221,WestBabylon,2013,43496,Suffolk,Hawain,39
222,WestBabylon,2012,44175,Suffolk,Hawain,19
223,WestBabylon,2011,43754,Suffolk,Hawain,21
224,WestBabylon,2010,44552,Suffolk,Hawain,16
225,WheatleyHeights,2017,5038,Suffolk,Hawain,0
226,WheatleyHeights,2016,5076,Suffolk,Hawain,0
227,WheatleyHeights,2015,5220,Suffolk,Hawain,0
228,WheatleyHeights,2014,5211,Suffolk,Hawain,0
229,WheatleyHeights,2013,5356,Suffolk,Hawain,0
230,WheatleyHeights,2012,5238,Suffolk,Hawain,0
231,WheatleyHeights,2011,5523,Suffolk,Hawain,0
232,WheatleyHeights,2010,6195,Suffolk,Hawain,0
233,Wyandanch,2017,11315,Suffolk,Hawain,0
234,Wyandanch,2016,10722,Suffolk,Hawain,0
235,Wyandanch,2015,11558,Suffolk,Hawain,0
236,Wyandanch,2014,11187,Suffolk,Hawain,0
237,Wyandanch,2013,10608,Suffolk,Hawain,0
238,Wyandanch,2012,11047,Suffolk,Hawain,0
239,Wyandanch,2011,11265,Suffolk,Hawain,0
240,Wyandanch,2010,10931,Suffolk,Hawain,0
241,DeerPark,2017,27653,Suffolk,Other_race,1287
242,DeerPark,2016,27223,Suffolk,Other_race,1289
243,DeerPark,2015,27346,Suffolk,Other_race,1355
244,DeerPark,2014,27290,Suffolk,Other_race,616
245,DeerPark,2013,27482,Suffolk,Other_race,565
246,DeerPark,2012,27770,Suffolk,Other_race,894
